Date,Close,High,Low,Open,Volume
2026-08-18,3080.0,3140.0,3080.0,3120.0,153801000
2026-08-19,3080.0,3100.0,3040.0,3080.0,101112000
2026-08-20,3140.0,3140.0,3090.0,3100.0,156120300
2026-08-21,3230.0,3250.0,3160.0,3170.0,349663900
2026-08-24,3180.0,3240.0,3160.0,3230.0,151200300
2026-08-25,3180.0,3180.0,3180.0,3180.0,0
2026-08-26,3130.0,3170.0,3110.0,3170.0,159003300
2026-08-27,3150.0,3150.0,3100.0,3110.0,164832300
2026-08-28,3190.0,3200.0,3160.0,3180.0,135419900
2026-08-31,3250.0,3270.0,3170.0,3180.0,353834000
2026-09-01,3380.0,3380.0,3250.0,3250.0,393505600
2026-09-02,3390.0,3400.0,3350.0,3390.0,205175100
2026-09-03,3410.0,3430.0,3370.0,3400.0,244699100
2026-09-04,3390.0,3440.0,3380.0,3430.0,152173900
2026-09-07,3370.0,3400.0,3330.0,3400.0,140651200
2026-09-08,3410.0,3420.0,3360.0,3380.0,148330400
2026-09-09,3420.0,3420.0,3360.0,3420.0,156865000
2026-09-10,3320.0,3430.0,3310.0,3420.0,194894800
2026-09-11,3270.0,3320.0,3250.0,3320.0,217302800
2026-09-14,3400.0,3410.0,3230.0,3270.0,278495400
2026-09-15,3320.0,3400.0,3320.0,3400.0,158042700
